account,Trades,Total PnL,Avg PnL,Win Rate,Total Volume
Trader_45,1000,1401638.5942,1401.6386,0.67,2204180.1149
Trader_17,1000,781161.5251,781.1615,0.693,10941516.2554
Trader_18,1000,764597.6758,764.5977,0.634,3805298.6425
Trader_16,1000,509184.1417,509.1841,0.317,15668716.6282
Trader_1,1000,351273.9247,351.2739,0.426,1988774.0331
Trader_199,1000,351156.0355,351.156,0.39,19001822.9255
Trader_15,1000,289762.454,289.7625,0.316,24736934.4802
Trader_209,1000,236340.6341,236.3406,0.259,16997539.9126
Trader_38,1000,205633.0525,205.6331,0.657,2452960.8449
Trader_75,1000,201051.6606,201.0517,0.991,2437100.0368
